alias,latitude,longitude,time_window_start,time_window_end,service_time,pieces,weight(Kg),volume(m^3),skills
Customer 60,25.824726,-80.190428,360,960,15,16,112,53,cargo
Customer 62,29.648915,-82.415486,570,960,15,9,242,53,cargo
Customer 63,28.513388,-81.464232,570,960,15,15,33,53,cargo
Customer 64,28.505053,-81.261699,600,960,15,11,166,53,cargo
Customer 65,26.397746,-81.774237,360,960,15,4,115,53,cargo
Customer 66,25.770364,-80.195214,600,960,15,10,189,53,cargo
Customer 67,26.878073,-80.114594,600,960,15,6,209,53,cargo
Customer 68,26.477321,-80.088427,420,960,15,20,113,53,cargo
Customer 69,26.445159,-80.203337,540,960,15,22,81,53,cargo
Customer 70,28.25291,-81.438885,600,960,15,21,145,53,cargo
Customer 71,25.767365,-80.190741,540,960,15,3,151,53,cargo
Customer 72,26.874501,-82.258054,600,960,15,18,212,53,cargo
Customer 73,28.353839,-81.542098,405,960,15,21,23,53,cargo
Customer 74,28.465753,-81.468435,600,960,15,14,94,53,cargo
Customer 75,26.09434,-80.379018,600,960,15,14,203,53,cargo
Customer 76,28.387932,-81.497864,540,960,15,15,96,53,cargo
Customer 77,26.556128,-82.009214,600,960,15,5,115,53,cargo
Customer 79,26.842937,-80.122488,600,960,15,22,39,53,cargo
Customer 80,26.088302,-80.303337,420,960,15,13,216,53,cargo
Customer 81,26.153861,-80.249619,420,960,15,14,104,53,cargo
Customer 82,28.984372,-82.012414,600,960,15,16,22,53,cargo
Customer 83,26.086129,-81.721773,390,960,15,18,50,53,cargo
Customer 84,27.005094,-82.066923,510,960,15,3,66,53,cargo
Customer 85,28.315964,-81.591662,420,960,15,15,59,53,cargo
Customer 86,26.140385,-80.130977,360,960,15,22,240,53,cargo
Customer 87,26.688641,-80.154795,600,960,15,21,185,53,cargo
Customer 88,26.170726,-80.218952,600,960,15,3,210,53,cargo
Customer 89,25.736367,-80.243134,420,960,15,12,66,53,cargo
Customer 90,26.283701,-80.134082,390,960,15,11,225,53,cargo
Customer 91,28.006074,-81.748512,420,960,15,5,173,53,cargo
Customer 92,28.37658,-81.678881,420,960,15,9,246,53,cargo
Customer 93,26.317661,-80.134087,600,960,15,8,250,53,cargo
Customer 94,26.248677,-80.086028,420,960,15,3,91,53,cargo
Customer 95,26.603321,-80.099507,600,960,15,4,90,53,cargo
Customer 96,26.031086,-80.203755,600,960,15,6,200,53,cargo
Customer 97,28.336091,-81.530853,540,960,15,13,29,53,cargo
Customer 98,26.241989,-80.225584,600,960,15,3,148,53,cargo
Customer 99,28.225436,-81.314275,420,960,15,18,227,53,cargo
Customer 100,28.377672,-81.523744,360,960,15,3,65,53,cargo
Customer 101,28.289242,-81.591308,600,960,15,3,175,53,cargo
Customer 102,28.148016,-82.343078,360,960,15,21,234,53,cargo
Customer 103,27.077708,-82.187249,420,960,15,22,157,53,cargo
Customer 104,28.26332,-81.6544,360,960,15,2,228,53,cargo
Customer 105,26.358537,-80.236369,600,960,15,11,131,53,cargo
Customer 106,26.577499,-80.167089,600,960,15,11,196,53,cargo
Customer 107,26.151125,-81.715246,420,960,15,14,109,53,cargo
Customer 108,26.03593,-80.192916,420,960,15,9,203,53,cargo
Customer 109,26.127659,-80.396767,420,960,15,8,113,53,cargo
Customer 110,26.56632,-81.87935,600,960,15,15,212,53,cargo
Customer 111,28.355472,-81.45404,600,960,15,9,183,53,cargo
Customer 112,26.122226,-80.407965,600,960,15,6,48,53,cargo
Customer 113,26.477321,-80.088427,600,960,15,15,92,53,cargo
Customer 114,28.408703,-81.451576,360,960,15,4,33,53,cargo
Customer 115,26.397991,-81.796229,600,960,15,10,211,53,cargo
Customer 116,26.368049,-80.120986,600,960,15,17,91,53,cargo
Customer 117,26.616518,-80.060514,600,960,15,2,176,53,cargo
Customer 118,26.948347,-82.236966,420,960,15,2,237,53,cargo
Customer 119,27.867807,-82.491904,600,960,15,18,112,53,cargo
Customer 120,26.351817,-80.23842,600,960,15,5,205,53,cargo
Customer 121,26.477381,-80.088361,600,960,15,3,81,53,cargo
Customer 122,25.9907,-80.117984,600,960,15,10,190,53,cargo
Customer 123,26.628224,-80.063491,420,960,15,12,198,53,cargo
Customer 124,26.515429,-81.910879,600,960,15,19,237,53,cargo
Customer 125,26.411934,-80.118163,540,960,15,13,135,53,cargo
Customer 126,26.463509,-80.12028,510,960,15,3,78,53,cargo
Customer 127,26.29232,-80.184425,600,960,15,10,221,53,cargo
Customer 128,26.283701,-80.134082,600,960,15,4,198,53,cargo
Customer 129,25.963941,-80.367873,420,960,15,6,48,53,cargo
Customer 130,28.355472,-81.45404,600,960,15,15,111,53,cargo
Customer 131,26.623331,-82.029538,600,960,15,4,71,53,cargo
Customer 132,26.011233,-80.209349,780,960,15,18,229,53,cargo
Customer 133,27.88482,-82.718221,600,960,15,10,36,53,cargo
Customer 134,26.283701,-80.134082,420,960,15,14,78,53,cargo
Customer 135,28.445587,-81.473141,600,960,15,17,120,53,cargo
Customer 136,25.859354,-80.178591,420,960,15,5,171,53,cargo
Customer 137,26.473815,-80.07766,600,960,15,2,231,53,cargo
Customer 138,26.122226,-80.407965,420,960,15,16,64,53,cargo
Customer 139,26.571466,-80.122147,360,960,15,22,179,53,cargo
Customer 140,26.191971,-80.19217,360,960,15,4,38,53,cargo
Customer 141,26.391939,-80.232982,360,960,15,14,237,53,cargo
Customer 142,25.633398,-80.289676,360,960,15,2,94,53,cargo
Customer 143,26.3846,-80.180841,510,960,15,16,58,53,cargo
Customer 144,26.16197,-80.315133,420,960,15,6,209,53,cargo
Customer 145,27.968131,-82.471872,450,960,15,4,138,53,cargo
Customer 146,25.997885,-80.181781,390,960,15,2,61,53,cargo
Customer 147,26.357243,-80.081809,420,960,15,15,205,53,cargo
Customer 148,28.225675,-82.428278,420,960,15,10,22,53,cargo
Customer 149,28.782734,-81.374962,420,960,15,18,150,53,cargo
Customer 150,26.147246,-80.284791,420,960,15,13,191,53,cargo
Customer 151,26.477381,-80.088361,360,960,15,12,249,53,cargo
Customer 152,28.453986,-81.471538,360,960,15,8,216,53,cargo
Customer 153,27.715626,-82.641132,375,960,15,10,141,53,cargo
Customer 154,28.297808,-81.46622,420,960,15,7,184,53,cargo
Customer 155,28.359554,-81.544476,525,960,15,3,247,53,cargo
Customer 156,28.611609,-81.373835,420,960,15,10,30,53,cargo
Customer 157,25.970459,-80.163504,420,960,15,16,27,53,cargo
Customer 158,28.536988,-81.699519,360,960,15,22,70,53,cargo
Customer 159,28.289242,-81.591308,420,960,15,8,254,53,cargo
Customer 160,26.249086,-80.227674,420,960,15,3,78,53,cargo
Customer 161,26.372578,-81.751714,420,960,15,12,99,53,cargo
Customer 162,25.791407,-80.194262,420,960,15,9,251,53,cargo
Customer 163,25.9907,-80.117984,360,960,15,20,246,53,cargo
Customer 164,26.065883,-80.266871,420,960,15,14,219,53,cargo
Customer 165,26.231125,-80.119002,420,960,15,9,35,53,cargo
Customer 166,26.752936,-80.073061,390,960,15,5,222,53,cargo
Customer 167,26.325023,-80.114224,420,960,15,17,254,53,cargo
Customer 168,28.49708,-81.31033,420,960,15,21,227,53,cargo
Customer 169,25.885176,-80.1224,420,960,15,9,148,53,cargo
Customer 170,29.241318,-81.014665,435,960,15,3,201,53,cargo
Customer 171,25.970214,-80.397579,405,960,15,5,123,53,cargo
Customer 172,25.889656,-80.157344,390,960,15,7,54,53,cargo
Customer 173,26.010284,-80.129735,420,960,15,10,213,53,cargo
Customer 174,28.470806,-81.45103,360,960,15,22,65,53,cargo
Customer 175,26.03462,-80.300816,420,960,15,4,158,53,cargo
Customer 176,26.251893,-80.239562,420,960,15,10,191,53,cargo
Customer 177,28.462835,-81.466501,420,960,15,14,212,53,cargo
Customer 178,26.009152,-80.409842,390,960,15,11,195,53,cargo
Customer 179,27.490776,-82.622576,420,960,15,15,127,53,cargo
Customer 180,25.760763,-80.27415,420,960,15,9,131,53,cargo
Customer 181,25.745149,-80.220683,360,960,15,20,88,53,cargo
Customer 183,25.798776,-80.146499,420,960,15,4,133,53,cargo
Customer 184,26.079891,-80.286907,420,960,15,5,173,53,cargo
Customer 185,25.670008,-80.294781,420,960,15,19,53,53,cargo
Customer 186,26.358537,-80.236369,375,960,15,2,59,53,cargo
Customer 187,25.963941,-80.367873,420,960,15,13,80,53,cargo
Customer 188,28.777794,-81.300783,390,960,15,13,169,53,cargo
Customer 189,28.351214,-81.542668,420,960,15,19,72,53,cargo
Customer 190,26.03274,-80.309469,420,960,15,20,24,53,cargo
Customer 191,28.45791,-81.463467,420,960,15,14,236,53,cargo
Customer 192,25.9907,-80.117984,420,960,15,20,94,53,cargo
Customer 193,25.733842,-80.280049,360,960,15,16,202,53,cargo
Customer 194,26.169242,-81.714489,420,960,15,9,133,53,cargo
Customer 195,25.7555,-80.423715,420,960,15,9,227,53,cargo
Customer 196,26.613105,-81.85809,420,960,15,2,31,53,cargo
Customer 197,28.382399,-81.511363,420,960,15,8,204,53,cargo
Customer 198,26.610115,-81.673603,420,960,15,13,65,53,cargo
Customer 199,26.251224,-80.179443,420,960,15,6,226,53,cargo
Customer 200,25.894705,-80.321195,405,960,15,10,162,53,cargo
Customer 201,28.342293,-81.572645,360,960,15,6,51,53,cargo
Customer 202,26.613105,-81.85809,420,960,15,9,133,53,cargo
Customer 203,28.461409,-81.468323,420,960,15,20,204,53,cargo
Customer 204,25.889656,-80.157344,420,960,15,15,29,53,cargo
Customer 205,25.780795,-80.192373,510,960,15,9,55,53,cargo
Customer 206,25.985945,-80.326528,420,960,15,18,80,53,cargo
Customer 207,26.288277,-81.674303,420,960,15,3,242,53,cargo
Customer 208,26.511396,-80.144239,360,960,15,13,122,53,cargo
Customer 209,26.248626,-81.807505,420,960,15,19,224,53,cargo
Customer 210,28.367703,-81.50424,420,960,15,2,194,53,cargo
Customer 211,26.332123,-80.296062,420,960,15,14,209,53,cargo
Customer 212,25.785262,-80.187889,420,960,15,20,203,53,cargo
Customer 213,26.065161,-80.224067,360,960,15,5,27,53,cargo
Customer 214,26.492715,-80.14326,360,960,15,21,90,53,cargo
Customer 215,26.3678,-80.146318,420,960,15,15,26,53,cargo
Customer 216,28.150352,-81.460167,420,960,15,18,143,53,cargo
Customer 217,25.806107,-80.35876,450,960,15,3,230,53,cargo
Customer 218,28.190723,-81.149184,510,960,15,6,106,53,cargo
Customer 219,28.932412,-81.182899,375,960,15,13,45,53,cargo
Customer 220,28.042941,-81.74075,420,960,15,7,43,53,cargo
Customer 221,26.251893,-80.239562,420,960,15,17,55,53,cargo
Customer 222,26.235986,-80.169949,420,960,15,16,240,53,cargo
Customer 223,26.42984,-80.150483,420,960,15,17,108,53,cargo
Customer 224,25.997885,-80.181781,420,960,15,4,191,53,cargo
Customer 225,26.425989,-80.075439,420,960,15,4,224,53,cargo
Customer 226,25.989353,-80.2614,420,960,15,7,169,53,cargo
Customer 227,27.363269,-82.464182,420,960,15,13,129,53,cargo
Customer 228,28.353238,-81.437197,420,960,15,19,226,53,cargo
Customer 229,28.473984,-81.465376,420,960,15,20,96,53,cargo
Customer 230,26.037888,-80.298687,360,960,15,11,26,53,cargo
Customer 231,26.477381,-80.088361,420,960,15,18,210,53,cargo
Customer 232,26.141814,-81.700608,420,960,15,12,159,53,cargo
Customer 233,25.79268,-80.141593,420,960,15,3,44,53,cargo
Customer 234,26.07095,-80.36561,420,960,15,11,187,53,cargo
Customer 235,26.132981,-80.422963,375,960,15,22,231,53,cargo
Customer 236,26.024013,-80.200336,420,960,15,4,235,53,cargo
Customer 237,26.06133,-80.192597,420,960,15,3,65,53,cargo
Customer 238,25.676792,-80.320053,420,960,15,7,158,53,cargo
Customer 239,28.405453,-81.582948,390,960,15,21,250,53,cargo
Customer 240,26.740221,-80.119739,570,960,15,15,121,53,cargo
Customer 241,25.968463,-80.162198,420,960,15,10,148,53,cargo
Customer 242,26.15022,-80.157806,420,960,15,15,81,53,cargo
Customer 243,26.354181,-80.192741,420,960,15,11,39,53,cargo
Customer 244,26.844363,-80.105887,420,960,15,3,227,53,cargo
Customer 245,26.040505,-80.312235,420,960,15,17,95,53,cargo
Customer 246,28.415764,-81.574646,435,960,15,13,191,53,cargo
Customer 247,26.117603,-80.418239,420,960,15,19,176,53,cargo
Customer 248,26.283701,-80.134082,360,960,15,19,202,53,cargo
Customer 249,26.135253,-80.279875,420,960,15,13,69,53,cargo
Customer 250,28.464734,-81.512536,420,960,15,22,52,53,cargo
Customer 251,26.084411,-80.342642,420,960,15,19,144,53,cargo
Customer 252,26.766921,-80.303019,420,960,15,2,47,53,cargo
Customer 253,26.566995,-80.120172,420,960,15,7,227,53,cargo
Customer 254,26.158324,-80.315038,420,960,15,15,184,53,cargo
Customer 255,26.579683,-82.004663,420,960,15,9,197,53,cargo
Customer 256,26.3678,-80.146318,420,960,15,9,187,53,cargo
Customer 257,28.521938,-81.363679,420,960,15,22,86,53,cargo
Customer 258,26.545671,-81.894152,600,960,15,19,209,53,cargo
Customer 259,28.453986,-81.471538,375,960,15,12,183,53,cargo
Customer 260,28.451199,-81.471654,420,960,15,11,90,53,cargo
Customer 261,28.355472,-81.45404,360,960,15,8,140,53,cargo
Customer 262,26.164686,-81.801449,420,960,15,7,84,53,cargo
Customer 263,28.304853,-81.21527,420,960,15,6,100,53,cargo
Customer 264,26.477321,-80.088427,375,960,15,20,217,53,cargo
Customer 265,28.462835,-81.466501,390,960,15,13,85,53,cargo
Customer 266,26.251224,-80.179443,540,960,15,4,242,53,cargo
Customer 267,26.664873,-81.91151,600,960,15,13,154,53,cargo
Customer 268,27.005094,-82.066923,420,960,15,12,213,53,cargo
Customer 269,26.360964,-80.189228,420,960,15,20,88,53,cargo
Customer 270,25.980795,-80.404124,420,960,15,16,153,53,cargo
Customer 271,28.353839,-81.542098,420,960,15,3,150,53,cargo
Customer 272,28.017757,-82.612372,360,960,15,21,79,53,cargo
Customer 273,25.9907,-80.117984,420,960,15,20,78,53,cargo
Customer 274,28.289242,-81.591308,420,960,15,15,171,53,cargo
Customer 275,29.171408,-82.155627,420,960,15,16,105,53,cargo
Customer 276,28.334727,-81.512928,420,960,15,21,168,53,cargo
Customer 277,28.053204,-82.664088,420,960,15,9,157,53,cargo
Customer 278,27.410545,-82.480029,405,960,15,21,211,53,cargo
Customer 279,26.473007,-80.070507,600,960,15,15,242,53,cargo
Customer 280,26.477321,-80.088427,420,960,15,12,160,53,cargo
Customer 281,26.572577,-81.728486,480,960,15,20,127,53,cargo
Customer 282,26.511396,-80.144239,360,960,15,15,103,53,cargo
Customer 283,26.477381,-80.088361,390,960,15,2,102,53,cargo
Customer 284,28.289242,-81.591308,420,960,15,3,40,53,cargo
Customer 285,26.091476,-81.735477,420,960,15,6,63,53,cargo
Customer 287,26.065695,-80.328459,420,960,15,20,131,53,cargo
Customer 288,29.63149,-82.431902,420,960,15,3,175,53,cargo
Customer 289,25.845243,-80.119876,600,960,15,9,155,53,cargo
Customer 290,26.366284,-80.137678,600,960,15,18,187,53,cargo
Customer 291,26.253707,-81.692028,420,960,15,16,105,53,cargo
Customer 292,25.788573,-80.142078,360,960,15,11,225,53,cargo
Customer 293,26.423301,-80.188824,420,960,15,5,180,53,cargo
Customer 294,26.631608,-80.147807,600,960,15,18,75,53,cargo
Customer 295,26.162197,-80.302898,405,960,15,8,154,53,cargo
Customer 296,28.342293,-81.572645,360,960,15,21,142,53,cargo
Customer 297,26.171401,-80.217796,420,960,15,12,72,53,cargo
Customer 298,28.15981,-81.926429,600,960,15,20,46,53,cargo
Customer 299,25.805195,-80.226752,390,960,15,11,242,53,cargo
Customer 300,26.115392,-80.272204,420,960,15,2,234,53,cargo
Customer 301,26.948315,-82.248218,420,960,15,5,233,53,cargo
Customer 302,28.351214,-81.542668,390,960,15,17,227,53,cargo
Customer 303,26.00016,-80.127861,420,960,15,14,238,53,cargo
Customer 304,28.058016,-81.734228,420,960,15,11,167,53,cargo
Customer 305,28.495535,-81.455235,600,960,15,19,108,53,cargo
Customer 306,26.169852,-80.098361,420,960,15,3,56,53,cargo
Customer 307,25.951104,-80.140634,420,960,15,14,38,53,cargo
Customer 308,26.363615,-80.151106,600,960,15,3,222,53,cargo
Customer 309,28.462835,-81.466501,600,960,15,2,32,53,cargo
Customer 310,28.453986,-81.471538,420,960,15,20,167,53,cargo
Customer 311,28.269551,-80.741075,420,960,15,3,107,53,cargo
Customer 312,26.200611,-80.270211,600,960,15,18,115,53,cargo
Customer 313,25.861134,-80.172411,405,960,15,9,162,53,cargo
Customer 314,26.135253,-80.279875,360,960,15,12,195,53,cargo
Customer 315,27.410545,-82.480029,600,960,15,22,166,53,cargo
Customer 316,25.776059,-80.351378,420,960,15,6,172,53,cargo
Customer 317,26.404948,-80.190373,390,960,15,20,161,53,cargo
Customer 318,26.24223,-80.231117,600,960,15,13,106,53,cargo
Customer 319,26.132156,-80.257984,420,960,15,13,86,53,cargo
Customer 320,25.776595,-80.134373,600,960,15,3,231,53,cargo
Customer 321,26.360964,-80.189228,480,960,15,5,143,53,cargo
Customer 322,28.45991,-81.46238,420,960,15,9,62,53,cargo
Customer 323,28.234327,-81.601632,360,960,15,14,202,53,cargo
Customer 324,26.569112,-82.016999,390,960,15,15,196,53,cargo
Customer 325,28.309356,-81.446106,600,960,15,19,132,53,cargo
Customer 326,27.777723,-82.778041,600,960,15,15,78,53,cargo
Customer 327,26.251224,-80.179443,600,960,15,2,242,53,cargo
Customer 328,25.971547,-80.136902,420,960,15,14,214,53,cargo
Customer 329,26.477321,-80.088427,420,960,15,12,215,53,cargo
Customer 330,26.402207,-80.153368,405,960,15,15,140,53,cargo
Customer 331,26.477321,-80.088427,360,960,15,2,129,53,cargo
Customer 332,26.687126,-80.135408,600,960,15,5,44,53,cargo
Customer 333,28.583885,-81.287905,360,960,15,20,102,53,cargo
Customer 334,26.03593,-80.192916,600,960,15,10,82,53,cargo
Customer 335,26.426737,-80.179178,390,960,15,18,103,53,cargo
Customer 336,26.397991,-81.796229,420,960,15,20,109,53,cargo
Customer 337,25.992502,-80.119048,600,960,15,22,148,53,cargo
Customer 338,28.050141,-82.361905,420,960,15,19,127,53,cargo
Customer 339,26.105025,-80.167185,420,960,15,17,195,53,cargo
Customer 340,28.289242,-81.591308,420,960,15,16,89,53,cargo
Customer 341,25.9907,-80.117984,540,960,15,4,203,53,cargo
Customer 342,25.81448,-80.133633,600,960,15,6,27,53,cargo
Customer 343,25.736495,-80.28324,360,960,15,9,70,53,cargo
Customer 344,26.046142,-80.286736,420,960,15,16,177,53,cargo
Customer 345,26.349332,-81.782611,600,960,15,14,89,53,cargo
Customer 346,26.549653,-80.074489,420,960,15,16,128,53,cargo
Customer 347,26.56937,-80.106411,420,960,15,15,97,53,cargo
Customer 348,26.146533,-80.113974,600,960,15,13,161,53,cargo
Customer 349,28.087658,-81.674343,420,960,15,20,235,53,cargo
Customer 350,26.123163,-80.392931,375,960,15,13,167,53,cargo
Customer 351,26.217535,-80.183604,420,960,15,17,206,53,cargo
Customer 352,26.600635,-80.175419,420,960,15,6,112,53,cargo
Customer 353,28.399283,-81.40944,360,960,15,17,144,53,cargo
Customer 355,26.267852,-80.185808,420,960,15,19,128,53,cargo
Customer 356,28.531173,-81.538813,360,960,15,7,102,53,cargo
Customer 357,26.452162,-80.114025,420,960,15,4,135,53,cargo
Customer 358,26.752936,-80.073061,600,960,15,20,58,53,cargo
Customer 359,26.337449,-80.212601,420,960,15,16,186,53,cargo
Customer 360,26.136559,-80.120263,420,960,15,3,160,53,cargo
Customer 361,25.81448,-80.133633,420,960,15,22,147,53,cargo
Customer 362,26.03593,-80.192916,405,960,15,9,42,53,cargo
Customer 363,26.148972,-80.29946,360,960,15,16,218,53,cargo
Customer 364,28.150222,-81.632367,420,960,15,9,22,53,cargo
Customer 365,28.463655,-81.473394,600,960,15,10,224,53,cargo
Customer 366,26.06637,-80.268006,600,960,15,6,79,53,cargo
Customer 367,26.101462,-80.389996,390,960,15,2,133,53,cargo
Customer 368,26.283701,-80.134082,420,960,15,11,211,53,cargo
Customer 369,26.248681,-81.683226,420,960,15,4,45,53,cargo
Customer 370,26.30553,-80.097487,420,960,15,6,235,53,cargo
Customer 371,26.358636,-80.232148,420,960,15,20,143,53,cargo
Customer 372,26.777101,-81.737533,405,960,15,7,250,53,cargo
Customer 373,28.278881,-81.638496,420,960,15,17,171,53,cargo
Customer 374,28.536988,-81.699519,480,960,15,8,216,53,cargo
Customer 375,26.061603,-80.193543,600,960,15,11,241,53,cargo
Customer 376,26.23654,-80.251605,420,960,15,14,137,53,cargo
Customer 377,26.477381,-80.088361,420,960,15,21,253,53,cargo
Customer 378,25.654569,-80.290382,600,960,15,17,152,53,cargo
Customer 379,28.261174,-81.644044,420,960,15,2,112,53,cargo
Customer 380,26.248626,-81.807505,360,960,15,22,233,53,cargo
Customer 381,28.38641,-81.536847,420,960,15,4,249,53,cargo
Customer 382,25.861134,-80.172411,420,960,15,19,249,53,cargo
Customer 383,25.964979,-80.182849,420,960,15,21,99,53,cargo
Customer 384,26.288277,-81.674303,600,960,15,3,125,53,cargo
Customer 385,25.885176,-80.1224,420,960,15,13,26,53,cargo
Customer 386,28.490855,-81.266691,420,960,15,21,52,53,cargo
Customer 387,25.997885,-80.181781,600,960,15,6,113,53,cargo
Customer 388,29.247609,-81.062598,480,960,15,10,232,53,cargo
Customer 389,26.280303,-80.111616,420,960,15,16,83,53,cargo
Customer 390,26.268596,-80.197381,360,960,15,3,241,53,cargo
Customer 391,26.580506,-82.013861,360,960,15,13,198,53,cargo
Customer 392,26.501031,-80.169006,360,960,15,3,148,53,cargo
Customer 393,26.064499,-80.325981,420,960,15,7,52,53,cargo
Customer 394,26.545724,-81.952406,600,960,15,15,240,53,cargo
Customer 395,28.620233,-81.277603,420,960,15,16,160,53,cargo
Customer 396,28.453986,-81.471538,600,960,15,9,47,53,cargo
Customer 397,28.006074,-81.748512,600,960,15,9,211,53,cargo
Customer 398,26.842937,-80.122488,420,960,15,10,236,53,cargo
Customer 399,28.465753,-81.468435,600,960,15,14,192,53,cargo
Customer 400,28.457312,-81.61751,420,960,15,19,32,53,cargo
Customer 401,25.970214,-80.397579,360,960,15,6,131,53,cargo
Customer 402,28.400659,-81.239455,600,960,15,8,101,53,cargo
Customer 403,26.30553,-80.097487,600,960,15,13,157,53,cargo
Customer 404,25.935532,-80.181712,360,960,15,14,98,53,cargo
Customer 405,28.353839,-81.542098,420,960,15,11,97,53,cargo
Customer 406,26.113358,-80.160015,420,960,15,13,48,53,cargo
Customer 407,28.225436,-81.314275,600,960,15,3,215,53,cargo
Customer 408,26.135253,-80.279875,420,960,15,4,119,53,cargo
Customer 409,26.086099,-80.372715,420,960,15,16,37,53,cargo
Customer 410,26.477381,-80.088361,390,960,15,14,92,53,cargo
Customer 411,25.944167,-80.135482,600,960,15,9,94,53,cargo
Customer 412,25.694643,-80.363009,420,960,15,22,114,53,cargo
Customer 413,28.513278,-81.464153,450,960,15,12,78,53,cargo
Customer 414,25.581474,-80.397617,420,960,15,19,169,53,cargo
Customer 415,25.767095,-80.190044,420,960,15,20,61,53,cargo
Customer 416,26.120406,-80.417688,450,960,15,21,114,53,cargo
Customer 417,26.354024,-80.155172,420,960,15,13,152,53,cargo
Customer 418,28.465753,-81.468435,420,960,15,12,102,53,cargo
Customer 419,26.572577,-81.728486,360,960,15,3,152,53,cargo
Customer 420,25.938593,-80.137673,420,960,15,2,222,53,cargo
Customer 421,26.321829,-80.271816,420,960,15,14,109,53,cargo
Customer 422,25.897923,-80.123394,420,960,15,13,190,53,cargo
Customer 423,26.251893,-80.239562,420,960,15,16,99,53,cargo
Customer 424,25.633398,-80.289676,420,960,15,19,253,53,cargo
Customer 425,25.767365,-80.190741,600,960,15,14,58,53,cargo
Customer 426,28.256086,-81.429509,420,960,15,3,134,53,cargo
Customer 427,26.079891,-80.286907,600,960,15,13,118,53,cargo
Customer 428,27.005094,-82.066923,600,960,15,6,210,53,cargo
Customer 429,28.311938,-81.649543,390,960,15,11,46,53,cargo
Customer 430,26.196319,-80.269378,420,960,15,19,50,53,cargo
Customer 431,28.538383,-81.378926,600,960,15,6,208,53,cargo
Customer 432,26.257867,-80.222437,360,960,15,13,170,53,cargo
Customer 433,28.143833,-82.518432,390,960,15,3,231,53,cargo
Customer 434,26.1144,-80.305435,420,960,15,18,61,53,cargo
Customer 435,28.367703,-81.50424,420,960,15,10,162,53,cargo
Customer 436,26.181938,-80.096839,600,960,15,15,239,53,cargo
